Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
passing an invalid service.yml to build can cause a relay panic,AR-693,104035,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,26/May/15 5:26 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,01/Jun/15 10:25 PM,Link Platform Release,Link Platform Release,,,,,,,0,,"make a simple node hello world app. Put the following in the service.yml:

runtime: node10
main: index.js
",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpt5r:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 2:  High,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike: Tool / Membership level permission view,AR-692,104012,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,1110204,1110204,26/May/15 2:27 PM,12/Jan/17 4:28 PM,03/May/19 9:53 AM,,,,Users,,,,,,0,,As an admin I want to view tool level permissions for all users enabled for a given tool or membership so that I can audit that list for accuracy.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Admin can view & bulk modify all users permissioned for a given tool or membership
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz9yk7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The add/delete of tags and the related behavior seems slightly broken.,AR-691,103964,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,tlong,tlong,22/May/15 2:25 PM,24/Aug/15 5:19 PM,03/May/19 9:53 AM,24/Aug/15 5:19 PM,,Mario Release,,,,,,,0,,"When you add and remove owners the related tags behave strangely.

- When deleting one markets disappear that should not
- Related should come in on save
- We should discuss how to track and handle related additions vs user additions",,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbaif:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _11_KONGUR,RadioEdit _13_MAGNETIC,RadioEdit _14_NIGHTWATCH,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"26/Jun/15 5:48 PM;mbrown;When filling related [controlling] tags, core may also be fetching deleted tags. Need to check this query.",,,,,,,,,
Discuss Services with Flint Team,AR-690,103942,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/May/15 5:08 PM,14/Sep/15 9:09 PM,03/May/19 9:53 AM,14/Sep/15 9:09 PM,,,,,,,,,0,,"As Radioedit, I want to know what calls will be made from Flint so I can provide the correct data",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,service output and article page to test this out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzb0jr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,RadioEdit _13_MAGNETIC,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDAP member data needs to be copied during user import,AR-689,103932,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,21/May/15 3:59 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,21/May/15 5:37 PM,Link Platform Release,Link Platform Release,,,,,,,0,,,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpstb:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default version keeps disappearing for auth and restore,AR-688,103926,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,21/May/15 3:43 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,21/May/15 5:37 PM,Link Platform Release,Link Platform Release,,,,,,,0,,auth fixtures replace the environment and default version for builtin apps. These should be done as upserts instead of saves,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpst3:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update sdk so slugs include underscore,AR-687,103922,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,21/May/15 3:16 PM,08/Jul/15 3:02 PM,03/May/19 9:53 AM,08/Jul/15 3:02 PM,,,,,,,,,0,,As a user I might need to use underscore in my slug because SEO guy says so,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allow underscore characters in slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbk4n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _11_KONGUR,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import general site brand data from site matrix into brands tool,AR-686,103912,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/May/15 1:39 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,02/Jun/15 4:06 PM,,,Site Manager,,,,,,0,,As an admin I want to import existing brands into radioedit,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/15 1:43 PM;1110204;station_matrix.csv;https://jira.ihrint.com/secure/attachment/83226/station_matrix.csv,,,,,,,"Import station matrix into brand manager tool
Use site id as unique key when importing records
For each record, create and populate fields for remainder of data in the site matrix.
Use Station as display name for each record in left rail (i.e. KRQQ-FM)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziui7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change document search to use a suffix filter on filename field,AR-685,103903,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,aroberts,aroberts,21/May/15 12:16 PM,22/May/15 3:03 PM,03/May/19 9:53 AM,22/May/15 3:03 PM,,,,,,,,,0,," To avoid complexity of multiple mimetypes, make the document filter use a comparison on the file's extension to determine file type.",,aroberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpsqn:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,21/May/15 2:13 PM;aroberts;Visible at http://v-5ee71770.radioedit.qa.cloud.ihr/,,,,,,,,,
Show read-only display of content for non-owners,AR-684,103888,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/May/15 10:25 AM,28/May/15 7:08 PM,03/May/19 9:53 AM,28/May/15 7:08 PM,,,,,,,,,0,,As a user I want a read-only view of content that I do not own so that all content is visible to me.,,1110204,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-649,,,,,,,,,,,,"Users that do not have ownership of content can open content in a read-only view.
Users cannot modify content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpsnr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"22/May/15 1:35 PM;amamut;Add ""View Only"" messaging to content so users are not confused. Look at P4.",,,,,,,,,
setup docker registry in prod,AR-683,103875,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tterry,tterry,21/May/15 9:53 AM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,28/May/15 1:49 PM,Link Platform Release,Link Platform Release,,,,,,,0,,,,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpsjz:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text formatting removed upon save,AR-682,103873,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,21/May/15 9:46 AM,29/May/15 5:25 PM,03/May/19 9:53 AM,29/May/15 5:25 PM,,,,,,,,,0,,"When saving content that has text formatting, formatting is removed upon save of content.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retain formatting on save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpsjj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,"Type text
apply formatting (bold,italic, list)
Save content
formatting is removed when content is saved",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version endpoint does not auth properly,AR-681,103847,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tlong,tlong,20/May/15 5:30 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,28/May/15 2:24 PM,Link Platform Release,Link Platform Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzpsfz:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove subject field filter,AR-679,103841,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,20/May/15 5:02 PM,12/Jun/15 1:28 PM,03/May/19 9:53 AM,12/Jun/15 1:28 PM,,,,,,,,,0,,As a user I want this filter removed,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remove subject filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuhr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update relay data storage to allow selection of running and primary application instances efficiently,AR-677,103803,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,tlong,tlong,20/May/15 11:29 AM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,02/Jun/15 6:58 PM,Link Platform Release,Link Platform Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziujj:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Station Tag Namespace name to Streams,AR-676,103725,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,19/May/15 3:24 PM,01/Jun/15 7:01 PM,03/May/19 9:53 AM,01/Jun/15 7:01 PM,,,,,,,,,0,,Since the Stations Namespace is sourced from SMT I want the namespace name to more accurately reflect that source.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change Stations namespace name to Streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuhz:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link App conversion issues,AR-675,103709,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,19/May/15 2:34 PM,06/Jul/15 3:42 PM,03/May/19 9:53 AM,06/Jul/15 3:42 PM,,,,,,,,,0,,"Dev time for issues that may arise during testing for Adswizz, Search override, SMT, Amp host and VHost tools.",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix any/all reported issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuyn:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add relay endpoint to get environment from app record,AR-673,103638,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,mbrown,mbrown,18/May/15 5:28 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,26/May/15 5:20 PM,Link Platform Release,Link Platform Release,Infrastructure,,,,,,0,,"Currently there is no way to get a list of environment variables stored in an app record, e.g. for modify or removal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbo3r:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apps use the wrong client id when authenticating a user,AR-671,103634,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,mbrown,mbrown,18/May/15 4:55 PM,16/Jul/15 1:19 PM,03/May/19 9:53 AM,18/May/15 5:08 PM,Link Platform Release,Link Platform Release,,,,,,,0,,sdk received updates to use  a single client id when interacting with the auth server. apps need to use the updated sdk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziujb:,9223372036854775807,14/Jul/15 7:15 PM,,,,,,,Severity 4:  Low,,RadioEdit _07_GODSURGE,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related tags in Keyword field,AR-670,103630,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 4:48 PM,28/May/15 2:32 PM,03/May/19 9:53 AM,28/May/15 2:32 PM,,,,,,,,,0,,As a user I don't want to see related tags in the keyword field when adding station tags because keywords should be for classification only.,,1110204,amamut,,,,,,,,,,,,,,,,,,,AR-652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not add related market tags to Keyword field when station tags are added.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoldb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,27/May/15 2:41 PM;amamut;Get rid of related keyword lookup all together in keywords input box.,,,,,,,,,
"build should handle negated .reapignore patterns correctly, and support custom build dir with default ignore file",AR-669,103573,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,18/May/15 12:30 PM,23/Dec/15 3:18 PM,03/May/19 9:53 AM,23/Dec/15 3:18 PM,,,Infrastructure,radioctl,,,,,0,,"default ignores for reap build are helpful, but if a .reapignore is available, it should be used instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzprmv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _23_ WIRESHARK,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Design - Text Color,AR-668,103569,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 12:18 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,14/Sep/15 9:05 PM,,,Site Manager,,,,,,0,,As a user I want to select the text color for my site,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can select limited choices for the following fields (None, 50% White, 50% Black)
-Site Header Wash 
-Navigation: Main Text Color 
-Navigation: Main Hover Text Color ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbltj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Design - Nav Color options,AR-667,103568,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 12:16 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,14/Sep/15 9:05 PM,,,Site Manager,,,,,,0,,As a user I want to select the background and color options for my site,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can enter hex color code for the following fields or choose via color picker
-Link Color 
-Link Hover Color 
-Button Color 
-Button Hover Color 
-Navigation: Main Hover Background Color 
-Navigation: Dropdown Background Color 
-Navigation: Dropdown Text Color 
-On Air Bar Highlight Color 
-Feed Title Text Color 
-Feed Title Background Color 
-Feed Module Title Color 
-Feed Filter Link Color 
-Side Module Title Text Color 
-Module Title Background Color",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbltr:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creating a calendar event content type,AR-666,103561,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,18/May/15 11:39 AM,04/Mar/16 5:58 PM,03/May/19 9:53 AM,12/Jun/15 2:34 PM,,,,,,,,,0,,"I'm a National Editor who wants to create and publish a new calendar event

",,1110204,,,,,,,,,,,,,,,,,,,,AR-86,,,,,,,,,,,,,,,,,,,,,,,,,AR-86,,,,,,,,,,,"Article Functionality+
User can Define the Event Type - List (Station Events, Concerts, Holiday) should allow for new categories to be added as needed.
User can enter an Event Title - Text
User can add a Venue - Text
User can set the Event Date & Event Start Time - Calendar / Hours:Minutes am/pm 
User can enter the Duration (days) - Int 
Users can add an event link - Insert link (URL/Text) Dedicated link for event outside of body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziuh3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _09_IRATE MONK,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Embedding content into Articles,AR-665,103560,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,18/May/15 11:38 AM,02/Jun/15 6:19 PM,03/May/19 9:53 AM,02/Jun/15 6:19 PM,,,,,,,,,0,,"As a user, I want to embed other content types into articles (i.e. galleries) ",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User can insert content into body of article as microdata or rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzolcf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _08_HOLLOWPOINT,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
